player_id,shortName,role_clean,xgb_forecast_next5
20436,Jos\u00e9 \u00c1ngel,Defender,14.170877
3788,Jordi Amat,Defender,13.427953
489488,Mart\u00edn,Defender,13.95023
344068,Unai N\u00fa\u00f1ez,Defender,14.357646
230857,Yeray,Defender,14.2264
5677,Bruno,Defender,13.808333
224080,G. Marip\u00e1n,Defender,13.770116
208694,Rodrigo Ely,Defender,13.688231
3421,De Marcos,Defender,15.45063
4180,Lomb\u00e1n,Defender,13.577766
3407,Ramalho,Defender,13.731452
4892,Jos\u00e9 Gay\u00e1,Defender,14.2485075
4272,Ximo Navarro,Defender,13.591561
134503,C. Lenglet,Defender,13.5304365
56009,R. Durmisi,Defender,14.325606
4805,Arbilla,Defender,13.237588
3335,Bartra,Defender,13.92674
70507,Paulo Oliveira,Defender,13.48634
8311,S. Savi\u0107,Defender,14.236466
4360,Juanpe,Defender,13.58252
4371,Dani Castellano,Defender,14.112395
26307,A. Mandi,Defender,13.864377
250805,Djen\u00e9,Defender,13.824579
93000,Antunes,Defender,16.16594
3447,Juanfran,Defender,13.6777
4065,J. Murillo,Defender,14.326447
6210,Aday,Defender,16.130678
263105,Pablo Maffeo,Defender,14.95716
24838,G. Letizia,Defender,15.985918
22883,A. Izzo,Defender,14.009621
85113,A. To\u0219ca,Defender,14.323201
206318,D. Biraschi,Defender,15.212914
50007,B. Djimsiti,Defender,14.97668
7858,B. Sagna,Defender,15.444297
3695,\u00c1lvaro Gonz\u00e1lez,Defender,13.471166
3465,Fernando Navarro,Defender,13.757448
3529,Mario,Defender,14.35073
70451,Luisinho,Defender,16.230465
3325,Juanfran,Defender,16.244131
25700,M. Debuchy,Defender,14.530162
25643,K. Th\u00e9ophile Catherine,Defender,14.425862
15010,Dante,Defender,13.795054
25864,L. Perrin,Defender,14.382527
25641,K. Mangane,Defender,13.848525
25638,D. Foulquier,Defender,14.60512
25557,J. Morel,Defender,14.15872
276979,F. Mendy,Defender,14.112068
266286,Marlon,Defender,13.538188
29616,P. Martinez,Defender,13.708893
29588,E. Seka,Defender,14.550582
149101,A. Tour\u00e9,Defender,14.961529
215281,A. Mbengue,Defender,15.79803
26633,A. Souquet,Defender,14.332152
26498,K. Lala,Defender,14.865196
26399,D. Da Silva,Defender,14.008063
26135,M. Le Marchand,Defender,14.883183
263766,Jemerson,Defender,13.584219
14801,N. Suboti\u0107,Defender,13.84884
28908,F. Guilbert,Defender,15.019742
7920,Rafael,Defender,14.123223
86183,F. Roncaglia,Defender,14.053527
21094,D. D'Ambrosio,Defender,14.416106
20519,A. Ranocchia,Defender,13.963913
3338,Sergi G\u00f3mez,Defender,13.569287
417231,C. Adjapong,Defender,13.59564
292991,M. Lemos,Defender,13.306061
3827,Hugo Mallo,Defender,14.58261
4424,Jonny,Defender,14.403211
20635,F. Acerbi,Defender,13.626238
135903,Jo\u00e3o Cancelo,Defender,15.136043
138408,M. \u0160kriniar,Defender,14.2561455
403449,Rog\u00e9rio,Defender,14.834543
366581,J. Gnagnon,Defender,13.619408
4452,Yuri Berchiche,Defender,14.931585
3308,Pedro Mendes,Defender,14.477019
242446,L. Dubois,Defender,14.821369
286917,F. Tour\u00e9,Defender,13.417812
286380,I. Diop,Defender,13.977572
334720,R. Bensebaini,Defender,14.043324
477744,N. Cozza,Defender,14.802171
301013,J. Gelin,Defender,13.704833
105523,Danilo Avelar,Defender,14.162415
215036,C. Yamber\u00e9,Defender,14.982189
372904,K. Dabila,Defender,13.539888
214710,B. Dibassy,Defender,14.443852
213308,J. Alonso,Defender,13.417812
144867,K. Malcuit,Defender,15.083333
144884,C. Jullien,Defender,13.963221
228963,H. Traor\u00e9,Defender,14.203942
410062,J. Kound\u00e9,Defender,15.0810795
25523,K. Djidji,Defender,13.821515
28335,R. Aguilar,Defender,15.771359
41127,Pablo,Defender,13.682285
26368,A. Bamba,Defender,14.059999
366563,V. Selimovic,Defender,13.887397
393284,C. Traor\u00e9,Defender,13.72087
352986,K. Amian,Defender,14.719653
40301,Lucas Lima,Defender,14.237838
26276,N. Pallois,Defender,13.858853
26945,M. Poundj\u00e9,Defender,15.142033
69525,M. Pavlovi\u0107,Defender,13.839244
26433,J. Cordoval,Defender,15.014746
26134,P. Gouano,Defender,13.453395
393214,V. Rosier,Defender,15.117581
26086,I. Traor\u00e9,Defender,13.494682
25957,K. Ad\u00e9non,Defender,13.70814
25786,D. Congr\u00e9,Defender,13.9710455
70959,Edgar I\u00e9,Defender,13.871558
25399,M. Zeffane,Defender,14.514239
29291,J. Giraudon,Defender,13.289239
25433,M. Bodmer,Defender,14.761915
28314,C. H\u00e9relle,Defender,13.498223
25524,P. Djilobodji,Defender,13.621305
26265,V. Manceau,Defender,14.915786
22093,A. Caracciolo,Defender,13.854941
20516,D. Faraoni,Defender,14.532778
22185,B. Martella,Defender,15.283343
20927,L. De Silvestri,Defender,14.502957
26373,S. Souprayen,Defender,14.24326
232822,A. Masina,Defender,14.351582
394,B. Nuytinck,Defender,13.450105
248950,Samir,Defender,13.596948
263433,A. Ferrari,Defender,13.90925
130,S. de Vrij,Defender,14.829753
25558,N. N'Koulou,Defender,14.4351425
20495,M. Gobbi,Defender,14.336289
22732,F. Pisacane,Defender,13.136643
21842,C. Biraghi,Defender,15.634668
21639,L. Ceppitelli,Defender,13.366406
86328,G. Pezzella,Defender,13.940864
99661,T. Cionek,Defender,13.4916115
101742,C. Ansaldi,Defender,15.21187
